t	vTarget	vAdjusted	xTarget	xAdjusted	xMelt	dxMelt	stepCommand	stepAdjust
4.860	0.000	-0.010	4.637	-0.000	0.918	-0.006	0.000	-1.000
4.870	0.000	-0.010	4.637	-0.000	0.907	-0.006	0.000	-1.000
4.880	0.000	-0.010	4.637	-0.000	0.895	-0.006	0.000	-1.000
4.890	0.000	-0.010	4.637	-0.000	0.883	-0.006	0.000	-1.000
4.900	0.000	-0.010	4.637	-0.000	0.872	-0.006	0.000	-1.000
4.910	0.000	-0.010	4.637	-0.000	0.861	-0.006	0.000	-1.000
4.920	0.000	-0.009	4.637	-0.000	0.850	-0.006	0.000	-1.000
4.930	0.000	-0.009	4.637	-0.000	0.839	-0.005	0.000	-1.000
4.940	0.000	-0.009	4.637	-0.000	0.828	-0.005	0.000	-1.000
4.950	0.000	-0.009	4.637	-0.000	0.817	-0.005	0.000	-1.000
4.960	0.000	-0.009	4.637	-0.000	0.807	-0.005	0.000	-1.000
4.970	0.000	-0.009	4.637	-0.000	0.796	-0.005	0.000	-1.000
4.980	0.000	-0.009	4.637	-0.000	0.786	-0.005	0.000	-1.000
4.990	0.000	-0.009	4.637	-0.000	0.776	-0.005	0.000	-1.000
5.000	0.000	-0.008	4.637	-0.000	0.766	-0.005	0.000	-1.000
5.010	0.000	-0.008	4.637	-0.000	0.756	-0.005	0.000	-1.000
5.020	0.000	-0.008	4.637	-0.000	0.746	-0.005	0.000	-1.000
5.030	0.000	-0.008	4.637	-0.000	0.737	-0.005	0.000	-1.000
5.040	0.000	-0.008	4.637	-0.000	0.727	-0.005	0.000	-1.000
5.050	0.000	-0.008	4.637	-0.000	0.718	-0.005	0.000	-1.000
5.060	0.000	-0.008	4.637	-0.000	0.708	-0.005	0.000	-1.000
5.070	0.000	-0.008	4.637	-0.000	0.699	-0.005	0.000	-1.000
5.080	0.000	-0.008	4.637	-0.000	0.690	-0.005	0.000	-1.000
5.090	0.000	-0.008	4.637	-0.000	0.681	-0.004	0.000	-1.000
5.100	0.000	-0.007	4.637	-0.000	0.673	-0.004	0.000	-1.000
5.110	0.000	-0.007	4.637	-0.000	0.664	-0.004	0.000	-1.000
5.120	0.000	-0.007	4.637	-0.000	0.655	-0.004	0.000	-1.000
5.130	0.000	-0.007	4.637	-0.000	0.647	-0.004	0.000	-1.000
5.140	0.000	-0.007	4.637	-0.000	0.638	-0.004	0.000	-1.000
5.150	0.000	-0.007	4.637	-0.000	0.630	-0.004	0.000	0.000
5.160	0.000	-0.007	4.637	-0.000	0.622	-0.004	0.000	-1.000
5.170	0.000	-0.007	4.637	-0.000	0.614	-0.004	0.000	-1.000
5.180	0.000	-0.007	4.637	-0.000	0.606	-0.004	0.000	0.000
5.190	0.000	-0.007	4.637	-0.000	0.598	-0.004	0.000	-1.000
5.200	0.000	-0.007	4.637	-0.000	0.591	-0.004	0.000	-1.000
5.210	0.000	-0.006	4.637	-0.000	0.583	-0.004	0.000	0.000
5.220	0.000	-0.006	4.637	-0.000	0.576	-0.004	0.000	-1.000
5.230	0.000	-0.006	4.637	-0.000	0.568	-0.004	0.000	-1.000
5.240	0.000	-0.006	4.637	-0.000	0.561	-0.004	0.000	0.000
5.250	0.000	-0.006	4.637	-0.000	0.554	-0.004	0.000	0.000
5.260	0.000	-0.006	4.637	-0.000	0.546	-0.004	0.000	-1.000
5.270	0.000	-0.006	4.637	-0.000	0.539	-0.004	0.000	-1.000
5.280	0.000	-0.006	4.637	-0.000	0.532	-0.003	0.000	-1.000
5.290	0.000	-0.006	4.637	-0.000	0.526	-0.003	0.000	0.000
5.300	0.000	-0.006	4.637	-0.000	0.519	-0.003	0.000	0.000
5.310	0.000	-0.006	4.637	-0.000	0.512	-0.003	0.000	0.000
5.320	0.000	-0.006	4.637	-0.000	0.505	-0.003	0.000	-1.000
5.330	0.000	-0.006	4.637	-0.000	0.499	-0.003	0.000	-1.000
5.340	0.000	-0.005	4.637	-0.000	0.492	-0.003	0.000	-1.000
5.350	0.000	-0.005	4.637	-0.000	0.486	-0.003	0.000	-1.000
5.360	0.000	-0.005	4.637	-0.000	0.480	-0.003	0.000	-1.000
5.370	0.000	-0.005	4.637	-0.000	0.474	-0.003	0.000	-1.000
5.380	0.000	-0.005	4.637	-0.000	0.468	-0.003	0.000	-1.000
5.390	0.000	-0.005	4.637	-0.000	0.462	-0.003	0.000	0.000
5.400	0.000	-0.005	4.637	-0.000	0.456	-0.003	0.000	0.000
5.410	0.000	-0.005	4.637	-0.000	0.450	-0.003	0.000	0.000
5.420	0.000	-0.005	4.637	-0.000	0.444	-0.003	0.000	0.000
5.430	0.000	-0.005	4.637	-0.000	0.438	-0.003	0.000	0.000
5.440	0.000	-0.005	4.637	-0.000	0.433	-0.003	0.000	-1.000
5.450	0.000	-0.005	4.637	-0.000	0.427	-0.003	0.000	-1.000
5.460	0.000	-0.005	4.637	-0.000	0.421	-0.003	0.000	-1.000
5.470	0.000	-0.005	4.637	-0.000	0.416	-0.003	0.000	-1.000
5.480	0.000	-0.005	4.637	-0.000	0.411	-0.003	0.000	-1.000
5.490	0.000	-0.004	4.637	-0.000	0.405	-0.003	0.000	-1.000
5.500	0.000	-0.004	4.637	-0.000	0.400	-0.003	0.000	0.000
5.510	0.000	-0.004	4.637	-0.000	0.395	-0.003	0.000	0.000
5.520	0.000	-0.004	4.637	-0.000	0.390	-0.003	0.000	0.000
5.530	0.000	-0.004	4.637	-0.000	0.385	-0.003	0.000	0.000
5.540	0.000	-0.004	4.637	-0.000	0.380	-0.002	0.000	0.000
5.550	0.000	-0.004	4.637	-0.000	0.375	-0.002	0.000	-1.000
5.560	0.000	-0.004	4.637	-0.000	0.370	-0.002	0.000	-1.000
5.570	0.000	-0.004	4.637	-0.000	0.365	-0.002	0.000	0.000
5.580	0.000	-0.004	4.637	-0.000	0.361	-0.002	0.000	0.000
5.590	0.000	-0.004	4.637	-0.000	0.356	-0.002	0.000	0.000
5.600	0.000	-0.004	4.637	-0.000	0.351	-0.002	0.000	-1.000
5.610	0.000	-0.004	4.637	-0.000	0.347	-0.002	0.000	-1.000
5.620	0.000	-0.004	4.637	-0.000	0.342	-0.002	0.000	0.000
5.630	0.000	-0.004	4.637	-0.000	0.338	-0.002	0.000	0.000
5.640	0.000	-0.004	4.637	-0.000	0.334	-0.002	0.000	-1.000
5.650	0.000	-0.004	4.637	-0.000	0.329	-0.002	0.000	-1.000
5.660	0.000	-0.004	4.637	-0.000	0.325	-0.002	0.000	0.000
5.670	0.000	-0.004	4.637	-0.000	0.321	-0.002	0.000	0.000
5.680	0.000	-0.004	4.637	-0.000	0.317	-0.002	0.000	-1.000
5.690	0.000	-0.003	4.637	-0.000	0.313	-0.002	0.000	0.000
5.700	0.000	-0.003	4.637	-0.000	0.309	-0.002	0.000	0.000
5.710	0.000	-0.003	4.637	-0.000	0.305	-0.002	0.000	-1.000
5.720	0.000	-0.003	4.637	-0.000	0.301	-0.002	0.000	0.000
5.730	0.000	-0.003	4.637	-0.000	0.297	-0.002	0.000	0.000
5.740	0.000	-0.003	4.637	-0.000	0.293	-0.002	0.000	-1.000
5.750	0.000	-0.003	4.637	-0.000	0.289	-0.002	0.000	0.000
5.760	0.000	-0.003	4.637	-0.000	0.285	-0.002	0.000	0.000
5.770	0.000	-0.003	4.637	-0.000	0.282	-0.002	0.000	-1.000
5.780	0.000	-0.003	4.637	-0.000	0.278	-0.002	0.000	0.000
5.790	0.000	-0.003	4.637	-0.000	0.275	-0.002	0.000	0.000
5.800	0.000	-0.003	4.637	-0.000	0.271	-0.002	0.000	0.000
5.810	0.000	-0.003	4.637	-0.000	0.268	-0.002	0.000	0.000
5.820	0.000	-0.003	4.637	-0.000	0.264	-0.002	0.000	-1.000
5.830	0.000	-0.003	4.637	-0.000	0.261	-0.002	0.000	0.000
5.840	0.000	-0.003	4.637	-0.000	0.257	-0.002	0.000	-1.000
5.850	0.000	-0.003	4.637	-0.000	0.254	-0.002	0.000	0.000
5.860	0.000	-0.003	4.637	-0.000	0.251	-0.002	0.000	0.000
5.870	0.000	-0.003	4.637	-0.000	0.247	-0.002	0.000	0.000
5.880	0.000	-0.003	4.637	-0.000	0.244	-0.002	0.000	0.000
5.890	0.000	-0.003	4.637	-0.000	0.241	-0.002	0.000	-1.000
5.900	0.000	-0.003	4.637	-0.000	0.238	-0.002	0.000	0.000
5.910	0.000	-0.003	4.637	-0.000	0.235	-0.002	0.000	-1.000
5.920	0.000	-0.003	4.637	-0.000	0.232	-0.002	0.000	0.000
5.930	0.000	-0.003	4.637	-0.000	0.229	-0.002	0.000	-1.000
5.940	0.000	-0.003	4.637	-0.000	0.226	-0.001	0.000	0.000
5.950	0.000	-0.002	4.637	-0.000	0.223	-0.001	0.000	-1.000
5.960	0.000	-0.002	4.637	-0.000	0.220	-0.001	0.000	0.000
5.970	0.000	-0.002	4.637	-0.000	0.217	-0.001	0.000	-1.000
5.980	0.000	-0.002	4.637	-0.000	0.215	-0.001	0.000	0.000
5.990	0.000	-0.002	4.637	-0.000	0.212	-0.001	0.000	0.000
6.000	0.000	-0.002	4.637	-0.000	0.209	-0.001	0.000	0.000
